,sp500_Open,sp500_High,sp500_Low,sp500_Close,sp500_Volume,vix_Open,vix_High,vix_Low,vix_Close,vix_Volume,dji_Open,dji_High,dji_Low,dji_Close,dji_Volume,ndx_Open,ndx_High,ndx_Low,ndx_Close,ndx_Volume,n255_Open,n255_High,n255_Low,n255_Close,n255_Volume,ftse_Open,ftse_High,ftse_Low,ftse_Close,ftse_Volume,hsi_Open,hsi_High,hsi_Low,hsi_Close,hsi_Volume,n100_Open,n100_High,n100_Low,n100_Close,n100_Volume,Overall EMV Tracker,infectious_daily_infect_emv_index,GPR,trade_US Trade Policy Uncertainty,trade_Japanese Trade Policy Uncertainty,trade_Trade Policy EMV Fraction
2000-01-11,1457.599976,1458.660034,1434.420044,1438.560059,1014000000.0,21.98,22.629999,21.690001,22.5,0.0,11568.469727,11663.099609,11502.700195,11511.080078,177300000.0,3715.219971,3717.169922,3517.790039,3544.350098,1694460000.0,18246.099609,18887.560547,18246.099609,18850.919922,0.0,6607.700195,6638.100098,6510.799805,6518.899902,863011000.0,15981.129883,16196.089844,15736.169922,15862.099609,0.0,954.059998,954.059998,954.059998,954.059998,0.0,,0.0,,,,
2000-01-12,1438.560059,1442.599976,1427.079956,1432.25,974600000.0,23.049999,23.49,22.41,22.84,0.0,11506.730469,11612.530273,11505.179688,11551.099609,194060000.0,3548.7700200000004,3572.6201170000004,3447.899902,3478.139893,1525900000.0,18780.169922,18811.869141,18626.919922,18677.419922,0.0,6518.899902,6532.799805,6470.299805,6532.799805,779904000.0,15691.730469,15744.040038999998,15545.669922,15714.200195,0.0,946.830017,946.830017,946.830017,946.830017,0.0,,0.0,,,,
2000-01-13,1432.25,1454.199951,1432.25,1449.680054,1030400000.0,22.73,23.1,21.32,21.709999,0.0,11558.240234,11656.580078,11524.110352,11582.429688,174910000.0,3495.830078,3612.429932,3494.389893,3612.080078,1476970000.0,18667.179688,18845.029297,18667.179688,18833.289063,0.0,6532.799805,6596.5,6509.399902,6531.5,865831000.0,15763.259766,15861.169922,15458.629883,15633.959961000002,0.0,951.820007,951.820007,951.820007,951.820007,0.0,,0.72,,,,
2000-01-14,1449.680054,1473.0,1449.680054,1465.150024,1085900000.0,19.83,20.15,19.51,19.66,0.0,11619.349609,11750.280273,11612.530273,11722.980469,266830000.0,3653.300049,3744.889893,3653.300049,3704.73999,1656630000.0,18882.990234,19058.019531,18733.830078,18956.550781,0.0,6531.5,6666.799805,6531.5,6658.200195,1098626000.0,15741.540038999998,15863.480469,15322.19043,15542.230469,0.0,973.859985,973.859985,973.859985,973.859985,0.0,,0.0,,,,
2000-01-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,
2000-01-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.78,,,,
2000-01-17,,,,,,,,,,,,,,,,,,,,,19025.619141,19442.580078,19025.619141,19437.230469,0.0,6658.200195,6694.299805,6638.299805,6669.5,923472000.0,15666.05957,15827.509766,15474.389647999997,15574.55957,0.0,979.960022,979.960022,979.960022,979.960022,0.0,,0.0,,,,
2000-01-18,1465.150024,1465.150024,1451.300049,1455.140015,1056700000.0,21.389999,21.629999,20.969999,21.5,0.0,11719.19043,11720.120117,11546.450195,11560.719727,200220000.0,3704.73999,3779.560059,3665.870117,3757.780029,1585230000.0,19412.470703,19412.470703,19145.169922,19196.570313,0.0,6669.5,6695.899902,6491.5,6504.600098,854700000.0,15575.679688,15801.070313,15508.080078,15789.200195,0.0,952.590027,952.590027,952.590027,952.590027,0.0,,0.0,,,,
2000-01-19,1455.140015,1461.390015,1448.680054,1455.900024,1087800000.0,22.15,22.16,21.440001,21.719999,0.0,11535.240234,11574.679688,11456.009766,11489.360352,193090000.0,3741.449951,3803.719971,3711.959961,3790.889893,1652210000.0,19181.869141,19181.869141,18897.75,18897.75,0.0,6504.600098,6505.899902,6434.399902,6445.5,863686000.0,15719.040038999998,15719.040038999998,15192.280272999997,15275.339844,0.0,951.26001,951.26001,951.26001,951.26001,0.0,,0.0,,,,
2000-01-20,1455.900024,1465.709961,1438.540039,1445.569946,1100700000.0,21.309999,22.6,21.18,21.75,0.0,11490.290039,11558.700195,11274.980469,11351.299805,191230000.0,3798.840088,3877.429932,3782.429932,3841.73999,1851300000.0,18930.259766,19167.029297,18921.109375,19008.009766,0.0,6445.399902,6492.700195,6328.299805,6348.700195,1008169000.0,15347.700195,15347.700195,15078.030272999997,15215.30957,0.0,955.409973,955.409973,955.409973,955.409973,0.0,,0.0,,,,
2000-01-21,1445.569946,1453.180054,1439.599976,1441.359985,1209800000.0,21.549999,21.91,20.5,20.82,0.0,11356.259766,11387.599609,11232.480469,11251.709961,205840000.0,3841.73999,3891.810059,3806.580078,3849.959961,1923680000.0,18994.890625,18994.890625,18713.169922,18878.089844,0.0,6348.700195,6374.700195,6287.100098,6346.299805,1007934000.0,15094.900391,15120.360352000003,14903.700195,15108.410156,0.0,951.51001,951.51001,951.51001,951.51001,0.0,,0.0,,,,
2000-01-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,
2000-01-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.77,,,,
2000-01-24,1441.359985,1454.089966,1395.420044,1401.530029,1115800000.0,21.43,24.440001,21.43,24.07,0.0,11251.94043,11366.5,10917.269531,11008.169922,202740000.0,3888.330078,3905.100098,3660.860107,3660.959961,1989050000.0,18878.460938,19124.570313,18877.130859,19056.710938,0.0,6346.299805,6480.399902,6346.299805,6379.799805,672107000.0,15233.790038999998,15413.75,15020.169922,15167.549805,0.0,956.609985,956.609985,956.609985,956.609985,0.0,,0.0,,,,
2000-01-25,1401.530029,1414.26001,1388.48999,1410.030029,1073700000.0,23.790001,24.280001,22.870001,23.02,0.0,11010.959961,11079.519531,10883.450195,11029.889648,209230000.0,3667.02002,3759.330078,3591.340088000001,3759.110107,1743630000.0,19004.390625,19131.189453,18815.369141,18895.529297,0.0,6379.799805,6379.799805,6262.899902,6274.100098,805330000.0,15093.530272999997,15150.219727000003,14910.290038999998,15103.040038999998,0.0,943.880005,943.880005,943.880005,943.880005,0.0,,0.91,,,,
2000-01-26,1410.030029,1412.72998,1400.160034,1404.089966,1117300000.0,22.91,23.190001,22.450001,23.030001,0.0,11025.849609,11131.030273,11002.580078,11032.990234,188840000.0,3762.689941,3762.689941,3621.100098,3621.209961,1717000000.0,18982.839844,19145.900391,18982.839844,19111.189453,0.0,6274.100098,6380.0,6270.399902,6375.600098,1021822000.0,15164.799805,15452.719727000003,15164.799805,15427.719727000003,0.0,946.200012,946.200012,946.200012,946.200012,0.0,,0.78,,,,
2000-01-27,1404.089966,1418.859985,1370.98999,1398.560059,1129500000.0,22.370001,24.389999,22.030001,23.540001,0.0,11035.549805,11164.139648,10915.400391,11028.019531,194280000.0,3628.879883,3701.300049,3512.070068,3593.149902,1798460000.0,19125.619141,19238.080078,18971.679688,19209.720703,0.0,6375.600098,6451.600098,6375.600098,6441.0,816596000.0,15460.209961000002,15925.179688,15460.209961000002,15917.80957,0.0,948.150024,948.150024,948.150024,948.150024,0.0,,0.0,,,,
2000-01-28,1398.560059,1398.560059,1356.199951,1360.160034,1095800000.0,23.75,26.540001,23.17,26.139999,0.0,11024.919922,11024.919922,10735.769531,10738.870117,183090000.0,3595.889893,3618.080078,3408.030029,3446.129883,1616370000.0,19261.009766,19595.830078,19237.490234,19434.779297,0.0,6441.0,6475.100098,6354.799805,6375.600098,918227000.0,16052.070313,16315.740234,16023.370117,16185.94043,0.0,948.210022,948.210022,948.210022,948.210022,0.0,24.412899017333984,0.0,,71.91424718351676,117.57714600754619,0.03357314148681055
2000-01-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.97,,,,
2000-01-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.77,,,,
2000-01-31,1360.160034,1394.47998,1350.140015,1394.459961,993800000.0,26.780001,27.43,24.940001,24.950001,0.0,10735.769531,10956.669922,10701.639648,10940.530273,191880000.0,3438.090088000001,3570.590088000001,3349.060059,3570.0500490000004,1507630000.0,19375.109375,19539.699219,19224.470703,19539.699219,0.0,6375.600098,6375.600098,6246.799805,6268.5,931453000.0,15889.049805,15889.049805,15444.820313,15532.339844,0.0,929.859985,929.859985,929.859985,929.859985,0.0,,1.08,,,,
2000-02-01,1394.459961,1412.48999,1384.790039,1409.280029,981000000.0,24.43,24.74,23.290001,23.450001,0.0,10937.740234,11073.320313,10907.959961,11041.049805,183110000.0,3580.290039,3703.590088,3544.929932,3701.780029,1398240000.0,19536.679688,19553.679688,19266.960938,19423.380859,0.0,6268.5,6367.100098,6231.899902,6290.899902,1214559000.0,15600.259766,15764.400391,15580.459961000002,15653.860352000003,0.0,944.77002,944.77002,944.77002,944.77002,0.0,,0.0,34.39116171765354,,,
2000-02-02,1409.280029,1420.609985,1403.48999,1409.119995,1038600000.0,23.02,24.74,22.620001,23.120001,0.0,11037.639648,11118.929688,10987.070313,11003.200195,164170000.0,3700.199951,3785.360107,3693.949951,3724.459961,1527880000.0,19522.330078,19860.259766,19522.330078,19578.910156,0.0,6290.899902,6345.200195,6241.600098,6302.799805,1336831000.0,15747.55957,15957.919922,15747.55957,15789.820313,0.0,968.609985,968.609985,968.609985,968.609985,0.0,,0.0,,,,
2000-02-03,1409.119995,1425.780029,1398.52002,1424.969971,1146500000.0,22.719999,23.73,21.93,22.01,0.0,11010.480469,11079.519531,10842.259766,11013.44043,178630000.0,3726.129883,3857.340088,3704.22998,3851.159912,1722330000.0,19648.349609,19878.830078,19648.349609,19786.419922,0.0,6302.799805,6393.5,6251.600098,6324.299805,1865400000.0,15795.589844,16010.030272999997,15702.849609,15968.120117,0.0,994.140015,994.140015,994.140015,994.140015,0.0,,0.68,,,,
2000-02-04,1424.969971,1435.910034,1420.630005,1424.369995,1045100000.0,20.77,21.77,20.690001,21.540001,0.0,11014.370117,11089.450195,10943.019531,10963.799805,166590000.0,3858.600098,3929.810059,3856.830078,3874.370117,1751450000.0,19866.189453,20011.910156,19752.119141,19763.130859,0.0,6324.299805,6364.899902,6171.200195,6185.0,2309287000.0,,,,,,1010.429993,1010.429993,1010.429993,1010.429993,0.0,,0.75,,,,
2000-02-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.92,,,,
2000-02-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.76,,,,
2000-02-07,1424.369995,1427.150024,1413.329956,1424.23999,918100000.0,22.969999,23.27,22.790001,22.790001,0.0,10965.969727,10970.94043,10846.219727,10905.790039,145660000.0,3873.429932,3933.75,3858.889893,3933.340088,1625540000.0,19832.759766,19948.599609,19780.560547,19945.429688,0.0,6185.0,6232.100098,6100.700195,6118.600098,1230759000.0,,,,,,1002.400024,1002.400024,1002.400024,1002.400024,0.0,,0.0,,,,
2000-02-08,1424.23999,1441.829956,1424.23999,1441.719971,1047700000.0,21.68,22.08,21.17,21.25,0.0,10904.259766,11023.05957,10904.259766,10957.599609,168890000.0,3932.23999,4063.790039,3932.23999,4062.77002,1971180000.0,19955.300781,19983.439453,19834.810547,19868.880859,0.0,6118.600098,6295.700195,6117.299805,6285.799805,2217462000.0,16079.889647999997,16285.929688,15940.30957,16228.730469,0.0,1022.25,1022.25,1022.25,1022.25,0.0,,0.0,,,,
2000-02-09,1441.719971,1444.550049,1411.650024,1411.709961,1050500000.0,21.540001,22.9,21.290001,22.9,0.0,10948.820313,10948.820313,10698.849609,10699.160156,168550000.0,4061.73999,4087.840088,3966.330078,3968.459961,1775590000.0,19930.410156,20046.140625,19925.640625,20007.769531,0.0,6285.799805,6450.899902,6271.5,6315.399902,1840149000.0,16456.869141,16967.900391,16456.869141,16819.460938,0.0,1016.01001,1016.01001,1016.01001,1016.01001,0.0,,0.0,,,,
2000-02-10,1411.699951,1422.099976,1406.430054,1416.829956,1058800000.0,23.360001,23.549999,22.75,23.07,0.0,10697.919922,10738.25,10606.400391,10643.629883,156390000.0,3974.830078,4090.070068,3956.899902,4090.0,1813590000.0,19915.529297,19915.560547,19710.019531,19710.019531,0.0,6315.399902,6320.0,6199.799805,6279.799805,2218541000.0,16679.789063,16874.089844,16525.560547,16845.169922,0.0,1005.640015,1005.640015,1005.640015,1005.640015,0.0,,0.69,,,,
2000-02-11,1416.829956,1416.829956,1378.890015,1387.119995,1025700000.0,22.940001,24.799999,22.82,24.42,0.0,10638.639648,10638.639648,10356.959961,10425.209961,193540000.0,4090.26001,4090.26001,3933.780029,3968.889893,1738590000.0,,,,,,6279.799805,6325.700195,6127.399902,6193.299805,3433671000.0,17024.369141,17653.650391,17024.369141,17380.300781,0.0,1014.169983,1014.169983,1014.169983,1014.169983,0.0,,0.74,,,,
2000-02-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,
2000-02-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.75,,,,
2000-02-14,1387.119995,1394.930054,1380.530029,1389.939941,927300000.0,24.67,24.889999,24.27,24.379999,0.0,10431.650391,10549.0,10430.799805,10519.839844,167240000.0,3969.949951,4005.590088,3918.870117,3986.129883,1600850000.0,19698.570313,19748.419922,19556.460938,19556.460938,0.0,6193.299805,6197.5,6027.5,6068.600098,1429935000.0,17546.470703,17939.269531,17107.900391,17188.960938,0.0,1006.27002,1006.27002,1006.27002,1006.27002,0.0,,0.0,,,,
2000-02-15,1389.939941,1407.719971,1376.25,1402.050049,1092100000.0,24.08,24.75,22.84,22.92,0.0,10520.150391,10763.070313,10494.480469,10718.089844,183320000.0,3983.850098,4024.129883,3848.370117,3997.030029,1708930000.0,19587.820313,19689.160156,19331.050781,19367.830078,0.0,6068.600098,6167.5,5972.700195,6005.200195,1510016000.0,17257.369141,17296.970703,16548.75,16688.160156,0.0,993.869995,993.869995,993.869995,993.869995,0.0,,0.92,,,,
2000-02-16,1402.050049,1404.550049,1385.579956,1387.670044,1018800000.0,23.200001,23.83,22.74,23.51,0.0,10711.820313,10741.669922,10561.410156,10561.410156,163280000.0,3997.030029,4063.580078,3982.550049,3997.969971,1782130000.0,19418.560547,19612.599609,19300.140625,19599.179688,0.0,6005.200195,6147.399902,6002.5,6147.399902,1614733000.0,16771.099609,17144.949219,16732.810547,17043.390625,0.0,996.409973,996.409973,996.409973,996.409973,0.0,,0.0,,,,
2000-02-17,1387.670044,1399.880005,1380.069946,1388.26001,1034800000.0,22.9,23.48,22.629999,23.17,0.0,10565.759766,10671.860352,10454.610352,10514.570313,195830000.0,4012.290039,4127.350098,3993.570068,4125.379883,2008440000.0,19646.369141,19803.689453,19518.080078,19791.400391,0.0,6147.399902,6262.200195,6102.899902,6209.299805,1522351000.0,17075.900391,17229.150391,16770.140625,16981.230469,0.0,1009.349976,1009.349976,1009.349976,1009.349976,0.0,,0.0,,,,
2000-02-18,1388.26001,1388.589966,1345.319946,1346.089966,1042300000.0,23.370001,26.370001,23.370001,26.0,0.0,10514.570313,10517.75,10199.980469,10219.519531,208930000.0,4130.549805,4135.600098,3959.830078,3965.75,1898410000.0,19852.179688,19862.939453,19670.050781,19789.029297,0.0,6209.299805,6264.100098,6151.399902,6165.0,1098726000.0,16985.300781,17027.949219,16468.949219,16599.160156,0.0,992.530029,992.530029,992.530029,992.530029,0.0,,0.0,,,,
2000-02-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,
2000-02-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.73,,,,
2000-02-21,,,,,,,,,,,,,,,,,,,,,19736.150391,19763.509766,19543.75,19543.75,0.0,6165.0,6193.600098,6029.899902,6081.600098,960304000.0,16412.630859,16477.099609,16136.5,16322.370117,0.0,978.690002,978.690002,978.690002,978.690002,0.0,,0.0,,,,
2000-02-22,1346.089966,1358.109985,1331.880005,1352.170044,980000000.0,25.91,28.120001,25.469999,25.860001,0.0,10219.830078,10336.790039,10103.799805,10304.839844,194340000.0,3970.530029,4001.070068,3856.02002,3969.129883,1772290000.0,19553.619141,19712.369141,19353.400391,19390.580078,0.0,6081.600098,6172.799805,6002.700195,6014.700195,1830338000.0,16294.94043,16442.580078,15776.349609,16255.169922,0.0,976.719971,976.719971,976.719971,976.719971,0.0,,0.0,,,,
2000-02-23,1352.170044,1370.109985,1342.439941,1360.689941,993700000.0,25.200001,25.370001,23.559999,23.889999,0.0,10294.820313,10338.349609,10164.919922,10225.730469,185280000.0,3966.0,4198.160156,3966.0,4170.089844,1892800000.0,19439.169922,19527.789063,19373.039063,19519.550781,0.0,6014.700195,6167.299805,6014.700195,6144.100098,1393864000.0,16313.959961000002,16523.650391,16297.129883,16376.790038999998,0.0,983.380005,983.380005,983.380005,983.380005,0.0,,0.77,,,,
2000-02-24,1360.689941,1364.800049,1329.880005,1353.430054,1215000000.0,24.18,25.940001,24.15,24.379999,0.0,10242.480469,10248.05957,9942.780273,10092.629883,237540000.0,4169.660156,4253.75,4099.3901369999985,4253.049805,1944050000.0,19616.259766,19698.949219,19558.039063,19571.439453,0.0,6144.100098,6288.799805,6070.899902,6086.700195,1213197000.0,16512.570313,17083.300781,16512.570313,17058.660156,0.0,988.710022,988.710022,988.710022,988.710022,0.0,,0.0,,,,
2000-02-25,1353.430054,1362.140015,1329.150024,1333.359985,1065200000.0,24.129999,25.370001,23.58,25.200001,0.0,10090.769531,10132.419922,9836.05957,9862.120117,195240000.0,4254.560059,4297.459961,4169.339844,4178.580078,1825500000.0,19623.380859,19817.880859,19539.0,19817.880859,0.0,6086.700195,6198.0,6086.700195,6198.0,1181230000.0,17279.509766,17414.460938,16905.400391,17200.980469,0.0,1004.719971,1004.719971,1004.719971,1004.719971,0.0,,0.0,,,,
2000-02-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,
2000-02-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.44,,,,
2000-02-28,1333.359985,1360.819946,1325.069946,1348.050049,1026500000.0,25.9,26.190001,24.09,24.68,0.0,9854.660156,10156.540039,9842.570313,10038.650391,213230000.0,4178.580078,4224.950195,4024.080078,4162.129883,1798070000.0,19783.439453,19904.859375,19713.859375,19720.099609,0.0,6198.0,6271.100098,6054.100098,6099.600098,925049000.0,17434.720703,17746.769531,16638.460938,16984.439453,0.0,992.429993,992.429993,992.429993,992.429993,0.0,19.91343688964844,2.08,,50.352412907592345,58.499365332428724,0.026470588235294117
2000-02-29,1348.050049,1369.630005,1348.050049,1366.420044,1204300000.0,23.76,23.879999,23.24,23.370001,0.0,10039.580078,10204.94043,10029.959961,10128.30957,191360000.0,4174.75,4269.759765999999,4174.75,4266.939941,2088840000.0,19761.519531,19978.75,19747.019531,19959.519531,0.0,6099.600098,6245.5,6099.600098,6232.600098,1121708000.0,17140.210938,17290.070313,17021.720703,17169.439453,0.0,1007.320007,1007.320007,1007.320007,1007.320007,0.0,,0.93,,,,
2000-03-01,1366.420044,1383.459961,1366.420044,1379.189941,1274100000.0,22.65,22.719999,21.41,21.639999,0.0,10128.110352,10186.330078,10084.55957,10137.929688,216780000.0,4275.720215,4346.410156,4269.660156,4309.009765999999,2232340000.0,20030.080078,20165.509766,20007.640625,20081.669922,0.0,6232.600098,6387.299805,6232.600098,6364.899902,1499256000.0,17267.269531,17275.439453,16617.949219,16843.589844,0.0,1015.659973,1015.659973,1015.659973,1015.659973,0.0,,0.0,54.098792642992585,,,
2000-03-02,1379.189941,1386.560059,1370.349976,1381.76001,1198600000.0,21.620001,22.1,20.93,21.059999,0.0,10135.44043,10212.389648,10103.490234,10164.919922,206510000.0,4311.970215,4337.649902,4197.97998,4234.259765999999,2137080000.0,20097.589844,20202.960938,19903.289063,20065.109375,0.0,6364.899902,6436.5,6324.200195,6432.100098,1124952000.0,16996.060547,17118.400391,16769.570313,16936.810547,0.0,1033.599976,1033.599976,1033.599976,1033.599976,0.0,,0.0,,,,
2000-03-03,1381.76001,1410.880005,1381.76001,1409.170044,1150300000.0,19.98,20.040001,19.190001,19.209999,0.0,10171.120117,10443.519531,10171.120117,10367.200195,210460000.0,4257.529785,4442.870117,4257.529785,4442.870117,2136530000.0,20023.039063,20034.599609,19859.419922,19927.539063,0.0,6432.100098,6506.299805,6403.0,6487.5,1107792000.0,16903.550781,17361.919922,16795.800781,17285.240234,0.0,1042.400024,1042.400024,1042.400024,1042.400024,0.0,,0.0,,,,
2000-03-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.92,,,,
2000-03-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,
2000-03-06,1409.170044,1409.73999,1384.75,1391.280029,1029000000.0,20.379999,21.74,20.33,21.5,0.0,10358.959961,10383.950195,10121.480469,10170.5,172590000.0,4448.47998,4528.689941,4436.600098,4457.180176,2015580000.0,20041.480469,20160.029297,19742.580078,19796.349609,0.0,6487.5,6593.299805,6457.0,6567.799805,1334247000.0,17500.970703,17855.210938,17500.970703,17758.759766,0.0,1047.77002,1047.77002,1047.77002,1047.77002,0.0,,1.04,,,,
2000-03-07,1391.280029,1399.209961,1349.98999,1355.619995,1314100000.0,22.24,24.49,22.24,24.309999,0.0,10197.610352,10229.139648,9752.679688,9796.030273,278180000.0,4489.490234000001,4560.959961,4355.6098630000015,4390.830078,2156410000.0,19802.539063,19944.240234,19704.230469,19944.240234,0.0,6567.799805,6568.299805,6465.5,6466.5,1164979000.0,17656.470703,17876.779297,17471.740234,17865.359375,0.0,1037.98999,1037.98999,1037.98999,1037.98999,0.0,,0.0,,,,
2000-03-08,1355.619995,1373.790039,1346.619995,1366.699951,1203000000.0,24.57,25.200001,23.48,23.82,0.0,9800.69043,9918.889648,9731.80957,9856.530273,223310000.0,4409.97998,4470.279785,4266.870117,4445.680176,2020130000.0,19856.369141,19856.369141,19692.039063,19766.800781,0.0,6466.5,6479.700195,6387.200195,6411.200195,1315382000.0,17687.580078,18058.970703,17323.759766,17951.429688,0.0,1032.680054,1032.680054,1032.680054,1032.680054,0.0,,0.74,,,,
2000-03-09,1366.699951,1401.819946,1357.880005,1401.689941,1123000000.0,24.18,24.18,22.200001,22.209999,0.0,9855.290039,10010.730469,9738.950195,10010.730469,187360000.0,4446.47998,4587.549805,4379.600098,4586.259765999999,2006810000.0,19751.720703,19885.539063,19614.820313,19662.330078,0.0,6411.200195,6544.200195,6411.200195,6532.100098,983965000.0,18031.779297,18249.859375,17613.800781,17637.029297,0.0,1035.26001,1035.26001,1035.26001,1035.26001,0.0,,0.66,,,,
2000-03-10,1401.689941,1413.459961,1392.069946,1395.069946,1138800000.0,20.889999,21.690001,20.84,21.24,0.0,10008.549805,10091.389648,9907.259766,9928.820313,197440000.0,4586.259765999999,4659.720215,4549.069824,4587.160156,1992170000.0,19734.839844,19982.439453,19686.5,19750.400391,0.0,6532.100098,6642.5,6532.100098,6568.700195,1005534000.0,17727.960938,18001.539063,17574.060547,17831.859375,0.0,1045.27002,1045.27002,1045.27002,1045.27002,0.0,,0.0,,,,
2000-03-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,
2000-03-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,
